condition,task,threshold_class,num_images,TP,TN,FP,FN,sensitivity,specificity,precision,NPV,F1,accuracy
clean_test,any_caries_cls_ge_1,1,187,115,30,24,18,0.8646616541353384,0.5555555555555556,0.8273381294964028,0.625,0.8455882352941175,0.7754010695187166
clean_test,moderate_or_severe_cls_ge_2,2,187,44,97,16,30,0.5945945945945946,0.8584070796460177,0.7333333333333333,0.7637795275590551,0.6567164179104478,0.7540106951871658
clean_test,severe_caries_cls_ge_3,3,187,28,143,7,9,0.7567567567567568,0.9533333333333334,0.8,0.9407894736842105,0.7777777777777778,0.9144385026737968
color_shift_severe,any_caries_cls_ge_1,1,187,122,30,24,11,0.9172932330827067,0.5555555555555556,0.8356164383561644,0.7317073170731707,0.8745519713261649,0.8128342245989305
color_shift_severe,moderate_or_severe_cls_ge_2,2,187,34,101,12,40,0.4594594594594595,0.8938053097345132,0.7391304347826086,0.7163120567375887,0.5666666666666667,0.7219251336898396
color_shift_severe,severe_caries_cls_ge_3,3,187,17,144,6,20,0.4594594594594595,0.96,0.7391304347826086,0.8780487804878049,0.5666666666666667,0.8609625668449198
contrast_shift_severe,any_caries_cls_ge_1,1,187,104,39,15,29,0.7819548872180451,0.7222222222222222,0.8739495798319328,0.5735294117647058,0.8253968253968254,0.7647058823529411
contrast_shift_severe,moderate_or_severe_cls_ge_2,2,187,24,110,3,50,0.32432432432432434,0.9734513274336283,0.8888888888888888,0.6875,0.4752475247524753,0.7165775401069518
contrast_shift_severe,severe_caries_cls_ge_3,3,187,13,150,0,24,0.35135135135135137,1.0,1.0,0.8620689655172413,0.52,0.8716577540106952
low_light_severe,any_caries_cls_ge_1,1,187,120,28,26,13,0.9022556390977443,0.5185185185185185,0.821917808219178,0.6829268292682927,0.8602150537634409,0.7914438502673797
low_light_severe,moderate_or_severe_cls_ge_2,2,187,45,92,21,29,0.6081081081081081,0.8141592920353983,0.6818181818181818,0.7603305785123967,0.6428571428571428,0.732620320855615
low_light_severe,severe_caries_cls_ge_3,3,187,28,140,10,9,0.7567567567567568,0.9333333333333333,0.7368421052631579,0.9395973154362416,0.7466666666666667,0.8983957219251337
occlusion_severe,any_caries_cls_ge_1,1,187,113,32,22,20,0.849624060150376,0.5925925925925926,0.837037037037037,0.6153846153846154,0.8432835820895522,0.7754010695187166
occlusion_severe,moderate_or_severe_cls_ge_2,2,187,36,104,9,38,0.4864864864864865,0.9203539823008849,0.8,0.7323943661971831,0.6050420168067226,0.7486631016042781
occlusion_severe,severe_caries_cls_ge_3,3,187,24,146,4,13,0.6486486486486487,0.9733333333333334,0.8571428571428571,0.9182389937106918,0.7384615384615384,0.9090909090909091
over_exposure_severe,any_caries_cls_ge_1,1,187,116,31,23,17,0.8721804511278195,0.5740740740740741,0.8345323741007195,0.6458333333333334,0.8529411764705883,0.786096256684492
over_exposure_severe,moderate_or_severe_cls_ge_2,2,187,42,103,10,32,0.5675675675675675,0.911504424778761,0.8076923076923077,0.762962962962963,0.6666666666666666,0.7754010695187166
over_exposure_severe,severe_caries_cls_ge_3,3,187,26,141,9,11,0.7027027027027027,0.94,0.7428571428571429,0.9276315789473685,0.7222222222222223,0.893048128342246
